model,anchor_idx,direction,mag_cm,anchor_min_v2v_m,denoised_min_v2v_m,a_correction_m,b_motion_from_anchor_m,b_motion_from_perturbed_m,pullback_m,recovery_0.5cm,recovery_1cm,recovery_2cm,recovery_5cm
uncond,98,0,0,0.015128841623663902,0.0052815694361925125,0.0410003662109375,0.05616726726293564,0.05616726726293564,,False,True,True,True
uncond,99,0,0,0.005420801695436239,0.018907899037003517,0.06541622430086136,0.06846942752599716,0.06846942752599716,,False,False,True,True
uncond,0,+x,1,0.0062339575961232185,0.007238265126943588,0.052244119346141815,0.06026729196310043,0.05651439353823662,-0.014718174934387207,False,True,True,True
uncond,1,+x,1,0.008382951840758324,0.004858336877077818,0.06667008996009827,0.0699690505862236,0.06767348200082779,-0.011432118713855743,True,True,True,True
uncond,2,+x,1,0.0025371836964040995,0.008155904710292816,0.14773862063884735,0.11073871701955795,0.10755783319473267,-0.0318462997674942,False,True,True,True
uncond,3,+x,1,0.00877548847347498,0.010480999946594238,0.18071070313453674,0.1792074739933014,0.17383791506290436,-0.08244459331035614,False,False,True,True
uncond,4,+x,1,0.0107227498665452,0.008940348401665688,0.03166409581899643,0.08361724764108658,0.07587726414203644,-0.05279494822025299,False,True,True,True
uncond,5,+x,1,0.009180466644465923,0.005777421873062849,0.06209850311279297,0.05822158232331276,0.0589463971555233,0.012138783931732178,False,True,True,True
uncond,6,+x,1,0.06171399727463722,0.0370563343167305,0.07073759287595749,0.06235424429178238,0.06673543900251389,0.03285032510757446,False,False,False,True
uncond,7,+x,1,0.039964932948350906,0.0717204362154007,0.11324258148670197,0.034752603620290756,0.0369713231921196,0.012149572372436523,False,False,False,False
uncond,8,+x,1,0.03321658447384834,0.05027815327048302,0.08123715221881866,0.056623026728630066,0.05789116770029068,0.009577818214893341,False,False,False,False
uncond,9,+x,1,0.02545144036412239,0.015738077461719513,0.04264746978878975,0.06824097037315369,0.061638858169317245,-0.03445059061050415,False,False,True,True
uncond,10,+x,1,0.01032631192356348,0.23095057904720306,0.07557879388332367,0.03265883028507233,0.03599309176206589,0.005113542079925537,False,False,False,False
uncond,11,+x,1,0.06558295339345932,0.029471829533576965,0.05072415992617607,0.1231403797864914,0.12128523737192154,-0.009375572204589844,False,False,False,True
