source,n_steps,min_v2v_m,contact_dens_5mm,contact_dens_10mm,contact_dens_20mm
chi3d,-1,0.01624957099556923,0.0,0.0,1.8209894960818929e-06
chi3d,-1,0.018020158633589745,0.0,0.0,9.104947480409464e-07
chi3d,-1,0.0082431361079216,0.0,1.8209894960818929e-06,3.459880099399015e-05
chi3d,-1,0.003009967738762498,1.8209894960818929e-06,3.6419789921637857e-06,8.649699884699658e-05
chi3d,-1,0.004114330746233463,9.104947480409464e-07,2.731484300966258e-06,9.104947821469977e-06
chi3d,-1,0.005236233118921518,0.0,4.552473910734989e-06,4.643523061531596e-05
chi3d,-1,0.01976785436272621,0.0,0.0,9.104947480409464e-07
chi3d,-1,0.017075886949896812,0.0,0.0,1.8209894960818929e-06
chi3d,-1,0.009655136615037918,0.0,9.104947480409464e-07,3.6419789921637857e-06
chi3d,-1,0.047511547803878784,0.0,0.0,0.0
chi3d,-1,0.0029700989834964275,4.552473910734989e-06,3.095682041021064e-05,0.0002212502295151353
chi3d,-1,0.008950343355536461,0.0,9.104947480409464e-07,1.0925937203865033e-05
chi3d,-1,0.013206180185079575,0.0,0.0,1.547841020510532e-05
chi3d,-1,0.008393609896302223,0.0,2.731484300966258e-06,2.5493853172520176e-05
chi3d,-1,0.00480901263654232,1.8209894960818929e-06,4.552473910734989e-06,3.0046327083255164e-05
chi3d,-1,0.005337697919458151,0.0,1.8209894960818929e-06,1.2746926586260088e-05
chi3d,-1,0.008052940480411053,0.0,9.104947480409464e-07,4.552473910734989e-06
chi3d,-1,0.00634765625,0.0,2.731484300966258e-06,2.0941379261785187e-05
chi3d,-1,0.01078648492693901,0.0,0.0,1.0015442057920154e-05
chi3d,-1,0.004171876702457666,1.8209894960818929e-06,1.0925937203865033e-05,4.1882758523570374e-05
chi3d,-1,0.001091830083169043,9.104947480409464e-07,3.6419789921637857e-06,2.4583358026575297e-05
chi3d,-1,0.007842957973480225,0.0,1.8209894960818929e-06,8.194452675525099e-06
chi3d,-1,0.027703238651156425,0.0,0.0,0.0
chi3d,-1,0.011575458571314812,0.0,0.0,6.373463293130044e-06
chi3d,-1,0.00981433130800724,0.0,9.104947480409464e-07,1.2746926586260088e-05
chi3d,-1,0.014239909127354622,0.0,0.0,2.731484300966258e-06
chi3d,-1,0.016105880960822105,0.0,0.0,1.8209894960818929e-06
chi3d,-1,0.008008408360183239,0.0,1.8209894960818929e-06,1.0015442057920154e-05
chi3d,-1,0.00560992443934083,0.0,9.104947480409464e-07,7.2839579843275715e-06
chi3d,-1,0.0068880547769367695,0.0,2.731484300966258e-06,2.8225336791365407e-05
chi3d,-1,0.011560000479221344,0.0,0.0,9.104947821469977e-06
chi3d,-1,0.006205207668244839,0.0,2.731484300966258e-06,2.731484164542053e-05
chi3d,-1,0.00244140625,5.462968601932516e-06,2.6404348318465054e-05,0.00017299399769399315
chi3d,-1,0.0027186349034309387,1.8209894960818929e-06,6.373463293130044e-06,8.922848792281002e-05
chi3d,-1,0.0025135816540569067,2.731484300966258e-06,1.0015442057920154e-05,6.828710320405662e-05
chi3d,-1,0.005326519720256329,0.0,1.8209894960818929e-06,3.6419789921637857e-06
