source,n_steps,min_v2v_m,contact_dens_5mm,contact_dens_10mm,contact_dens_20mm
chi3d,-1,0.01993001066148281,0.0,0.0,3.6419789921637857e-06
chi3d,-1,0.014239909127354622,0.0,0.0,7.2839579843275715e-06
chi3d,-1,0.0178473312407732,0.0,0.0,3.6419789921637857e-06
chi3d,-1,0.008008408360183239,0.0,3.6419789921637857e-06,1.0925937203865033e-05
chi3d,-1,0.01688634417951107,0.0,0.0,3.6419789921637857e-06
chi3d,-1,0.009206400252878666,0.0,3.6419789921637857e-06,3.2777810702100396e-05
chi3d,-1,0.011560000479221344,0.0,0.0,3.6419789921637857e-06
chi3d,-1,0.007117861416190863,0.0,3.6419789921637857e-06,4.006176823168062e-05
chi3d,-1,0.00244140625,7.2839579843275715e-06,2.1851874407730065e-05,0.00016388905351050198
chi3d,-1,0.005167482886463404,0.0,7.2839579843275715e-06,0.0001019754126900807
chi3d,-1,0.002804962219670415,3.6419789921637857e-06,1.0925937203865033e-05,7.283958257175982e-05
chi3d,-1,0.020684344694018364,0.0,0.0,0.0
chi3d,-1,0.004870590288192034,3.6419789921637857e-06,1.8209895642939955e-05,0.00016024707292672247
chi3d,-1,0.007126230280846357,0.0,3.6419789921637857e-06,1.4567915968655143e-05
chi3d,-1,0.04158998280763626,0.0,0.0,0.0
chi3d,-1,0.013246738351881504,0.0,0.0,2.9135831937310286e-05
chi3d,-1,0.002013235120102763,7.2839579843275715e-06,7.2839579843275715e-06,5.098770634504035e-05
chi3d,-1,0.0023920799139887094,1.4567915968655143e-05,0.00012018530833302066,0.0008922848501242697
chi3d,-1,0.005236233118921518,0.0,1.0925937203865033e-05,4.370374881546013e-05
chi3d,-1,0.00569428876042366,0.0,7.2839579843275715e-06,3.641979128587991e-05
chi3d,-1,0.0009765625,1.8209895642939955e-05,8.740749763092026e-05,0.0006628402043133974
chi3d,-1,0.009056268259882927,0.0,3.6419789921637857e-06,1.4567915968655143e-05
chi3d,-1,0.006291063968092203,0.0,3.6419789921637857e-06,2.5493853172520176e-05
chi3d,-1,0.004256737418472767,7.2839579843275715e-06,7.2839579843275715e-06,2.9135831937310286e-05
chi3d,-1,0.0011960399569943547,1.4567915968655143e-05,2.1851874407730065e-05,0.00017845697584562004
chi3d,-1,0.0068359375,0.0,1.4567915968655143e-05,0.00022580269433092326
chi3d,-1,0.0075722960755229,0.0,7.2839579843275715e-06,1.0925937203865033e-05
chi3d,-1,0.04509139060974121,0.0,0.0,0.0
chi3d,-1,0.0418727844953537,0.0,0.0,0.0
chi3d,-1,0.09535808861255646,0.0,0.0,0.0
chi3d,-1,0.031301457434892654,0.0,0.0,0.0
chi3d,-1,0.010089833289384842,0.0,0.0,7.2839579843275715e-06
chi3d,-1,0.02564290165901184,0.0,0.0,0.0
chi3d,-1,0.04009261727333069,0.0,0.0,0.0
chi3d,-1,0.02198350429534912,0.0,0.0,0.0
chi3d,-1,0.16099700331687927,0.0,0.0,0.0
chi3d,-1,0.032520685344934464,0.0,0.0,0.0
chi3d,-1,0.1434994488954544,0.0,0.0,0.0
chi3d,-1,0.05056953430175781,0.0,0.0,0.0
chi3d,-1,0.10019110143184662,0.0,0.0,0.0
chi3d,-1,0.05399924889206886,0.0,0.0,0.0
chi3d,-1,0.07627899944782257,0.0,0.0,0.0
chi3d,-1,0.08717598021030426,0.0,0.0,0.0
chi3d,-1,0.030713239684700966,0.0,0.0,0.0
chi3d,-1,0.0641554668545723,0.0,0.0,0.0
chi3d,-1,0.08980824798345566,0.0,0.0,0.0
chi3d,-1,0.01485049445182085,0.0,0.0,2.1851874407730065e-05
chi3d,-1,0.010719969868659973,0.0,0.0,1.4567915968655143e-05
chi3d,-1,0.013124687597155571,0.0,0.0,1.0925937203865033e-05
chi3d,-1,0.02087652124464512,0.0,0.0,0.0
chi3d,-1,0.010896442458033562,0.0,0.0,2.1851874407730065e-05
chi3d,-1,0.020919304341077805,0.0,0.0,0.0
chi3d,-1,0.016245903447270393,0.0,0.0,3.6419789921637857e-06
chi3d,-1,0.007201113738119602,0.0,2.1851874407730065e-05,4.734572576126084e-05
chi3d,-1,0.012342993170022964,0.0,0.0,2.5493853172520176e-05
chi3d,-1,0.03166307136416435,0.0,0.0,0.0
chi3d,-1,0.013273708522319794,0.0,0.0,1.0925937203865033e-05
chi3d,-1,0.017110757529735565,0.0,0.0,3.6419789921637857e-06
chi3d,-1,0.011440795846283436,0.0,0.0,2.1851874407730065e-05
chi3d,-1,0.029960740357637405,0.0,0.0,0.0
chi3d,-1,0.006587274372577667,0.0,3.6419789921637857e-06,1.8209895642939955e-05
chi3d,-1,0.012400805950164795,0.0,0.0,3.6419789921637857e-06
chi3d,-1,0.09270080924034119,0.0,0.0,0.0
chi3d,-1,0.02778058499097824,0.0,0.0,0.0
chi3d,-1,0.008322294801473618,0.0,7.2839579843275715e-06,1.0925937203865033e-05
chi3d,-1,0.008199636824429035,0.0,3.6419789921637857e-06,1.8209895642939955e-05
chi3d,-1,0.007993508130311966,0.0,3.6419789921637857e-06,4.734572576126084e-05
chi3d,-1,0.017455628141760826,0.0,0.0,3.6419789921637857e-06
chi3d,-1,0.0057670958340168,0.0,3.6419789921637857e-06,1.4567915968655143e-05
chi3d,-1,0.04067268595099449,0.0,0.0,0.0
chi3d,-1,0.00439453125,3.6419789921637857e-06,1.8209895642939955e-05,7.283958257175982e-05
chi3d,-1,0.0033829116728156805,3.6419789921637857e-06,3.6419789921637857e-06,6.555562140420079e-05
chi3d,-1,0.01043826062232256,0.0,0.0,2.1851874407730065e-05
chi3d,-1,0.015320675447583199,0.0,0.0,3.6419789921637857e-06
chi3d,-1,0.0022640670649707317,3.6419789921637857e-06,1.4567915968655143e-05,0.00013111124280840158
chi3d,-1,0.010964605025947094,0.0,0.0,4.370374881546013e-05
chi3d,-1,0.007532836403697729,0.0,7.2839579843275715e-06,6.555562140420079e-05
